,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Completion Type,Year Drilled
9077,Operator 41,Well 9078,MBH,9889.0,38.0,153,103,15,3990776.0,79017.0,2011-06-20,508.44838921762,464.54087223318,384.823580977427,339.703411498283,309.177076484769,P & P,48.08173952298329,-103.91119219670999,SLICKWATER (HC),660.0,115.79,P & P,2011.0
9080,Operator 18,Well 9081,TFH,9216.0,30.0,158,95,25,2082625.0,36358.0,2013-12-26,777.054569362262,518.080210387903,395.101906640368,333.20184089414903,292.735042735043,Sleeves,48.4819051612509,-102.887066800168,CROSSLINKED (HC),461.9536,109.38,Sleeves,2013.0
9081,Operator 1,Well 9082,MBH,9650.0,17.0,153,99,18,1493726.0,34265.0,2011-12-18,461.341222879684,331.097961867193,272.45781284242804,233.888523632113,209.45375849222,P & P,48.0686564057155,-103.467430946444,SLICKWATER (HC),385.242505,64.23,P & P,2011.0
9084,Operator 35,Well 9085,MBH,9043.0,25.0,157,100,8,2864220.0,57478.0,2012-11-21,204.536489151874,170.819636204252,139.76002629848801,127.27372342757,120.07451238220501,P & P,48.43199336650889,-103.626099332013,LINEAR GEL (HC),660.0,44.34,P & P,2012.0
9088,Operator 46,Well 9089,MBH,9183.0,35.0,153,99,3,3802255.0,242091.0,2012-07-20,726.6929651545039,630.7473153627,563.132807363577,497.965519760392,444.9128862590401,P & P,48.1101443527657,-103.394234116878,SLICKWATER (HC),612.04855,163.64,P & P,2012.0
9092,Operator 18,Well 9093,MBH,8505.0,38.0,156,97,33,3712952.0,40761.0,2011-10-17,327.777777777778,225.038351961429,171.586675432829,144.371393089342,123.890532544379,Sleeves,48.2854933602105,-103.16229690566601,CROSSLINKED (HC),660.0,48.77,Sleeves,2011.0
9096,Operator 24,Well 9097,MBH,5886.0,13.0,154,99,2,2041140.0,43670.0,2012-10-16,401.643655489809,340.510628972167,280.66513258821,242.57432975381698,218.42263861494598,P & P,48.1972732386695,-103.381218566702,CROSSLINKED (HC),660.0,82.33,P & P,2012.0
9098,Operator 24,Well 9099,MBH,4483.0,16.0,153,98,8,2256907.0,49378.0,2012-01-29,499.506903353057,307.308788078019,242.30221345606003,204.67163415881402,180.48433048432997,P & P,48.095791468452205,-103.317430967071,CROSSLINKED (HC),660.0,70.71,P & P,2012.0
9104,Operator 12,Well 9105,MBH,6328.0,21.0,154,104,23,2936652.0,36945.0,2012-01-20,261.2097304405,222.715318869165,201.955950032873,178.79684418146,158.473044049967,P & P,48.1479056462655,-104.01457679950899,LINEAR GEL (HC),660.0,60.25,P & P,2012.0
9110,Operator 11,Well 9111,MBH,10500.0,36.0,156,103,8,1947372.0,35785.0,2011-10-15,160.420775805391,130.155599386369,110.453648915187,101.87376725838301,96.74008327854479,Sleeves,48.3434897356597,-103.959194613419,SW-GEL HYBRID,660.0,27.54,Sleeves,2011.0
9113,Operator 11,Well 9114,MBH,9358.0,24.0,156,101,16,2368982.0,50413.0,2012-12-17,159.401709401709,145.989480604865,135.45912776682,117.188983855651,104.103659872891,Sleeves,48.34145545810021,-103.67672811663401,CROSSLINKED (HC),660.0,34.75,Sleeves,2012.0
9114,Operator 1,Well 9115,TFH,10173.0,30.0,159,95,12,3041186.0,50664.8333333333,2013-01-19,544.8717948717949,496.65790050405406,445.896340127109,405.150120534736,358.886697348236,P & P,48.60515793330879,-102.897112560368,CROSSLINKED (HC),167.41588000000002,137.61,P & P,2013.0
9117,Operator 19,Well 9118,TFH,9810.0,30.0,158,96,1,3024500.0,62999.0,2012-12-21,610.486522024984,525.7725180802099,409.615384615385,341.555263350135,296.282599167215,P & P,48.5455398520193,-103.02761501619301,LINEAR GEL (HC),660.0,110.47,P & P,2012.0
9122,Operator 35,Well 9123,MBH,9259.0,32.0,158,103,36,1373290.0,44957.0,2012-01-08,172.090729783037,154.89809335963199,116.562568485645,99.1197311710132,87.3383738768354,19 Sleeves and 13 P & P,48.4609021355682,-103.944361710799,LINEAR GEL (HC),660.0,32.63,Sleeves and P & P,2012.0
9130,Operator 18,Well 9131,MBH,9414.0,34.0,155,95,6,2719700.0,20451.0,2012-07-07,843.786982248521,722.145518299364,614.798378259917,517.280298049529,450.33968880122706,Sleeves,48.2793835790299,-102.937869881951,CROSSLINKED (HC),603.5195,173.06,Sleeves,2012.0
9131,Operator 11,Well 9132,MBH,9976.0,36.0,153,100,26,4511767.0,74764.0,2012-05-09,838.7902695595,616.776243699321,495.605960990576,424.278617868361,375.369822485207,Sleeves,48.04083105850571,-103.51486673851,LINEAR GEL (HC),660.0,133.91,Sleeves,2012.0
