,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Latitude,Longitude,SPACING_CAPPED,12 month Cum Prod,Year Drilled
8673,11500.0,57.0,152.0,90.0,10.0,14887493.0,352779.80952381,1568.7376725838299,1344.3019943019901,983.952443567828,823.493315801008,717.115259273669,47.993822014448796,-102.17354399538799,660.0,273.98,2014.0
8674,7590.0,38.0,152.0,90.0,11.0,11648309.0,240337.904761905,623.109796186719,493.984220907298,388.614946307254,309.628168602528,235.27558623712503,48.002827723354905,-102.169377391949,660.0,94.0,2014.0
8675,9423.0,35.0,151.0,92.0,16.0,5090890.0,66667.0,775.0821827744901,613.971071663379,537.81503396888,471.246986631602,414.883300460223,47.89177893088329,-102.460565799204,660.0,163.75,2014.0
8676,9552.0,30.0,154.0,94.0,27.0,6217893.0,96683.0,624.2274819197901,541.387245233399,501.550515012053,401.577909270217,329.81856355062087,48.138543355469295,-102.743872101807,235.68267999999998,152.06,2014.0
8677,10023.0,30.0,154.0,94.0,27.0,6100020.0,96424.0,673.96449704142,515.154503616042,370.693622616699,297.0586150787407,250.17213030869175,48.1389545872589,-102.743872101807,302.575565,104.07,2014.0
8678,5555.0,19.0,158.0,91.0,36.0,2862094.0,42693.0,248.19197896121003,222.60574183651102,198.591935130397,180.217693038206,161.95211483673,48.473199563452205,-102.37095929388599,660.0,61.97,2014.0
8679,9649.0,35.0,155.0,93.0,30.0,2472129.0,39085.0,403.911900065746,296.537365768135,233.256629410476,204.41862852523911,183.51231502149562,48.2135855265791,-102.685292267942,552.089175,67.31,2014.0
8680,9938.0,35.0,154.0,93.0,21.0,1631128.0,29580.0,304.73372781065103,231.33903133903098,190.26955950032902,173.99250919250517,160.2727248327542,48.139911153215294,-102.641531841728,483.66175,55.73,2014.0
8681,8322.0,35.0,155.0,94.0,24.0,3280904.0,47194.0,596.745562130178,351.019066403682,265.822923515231,227.33145604079493,200.5135613496252,48.2276011165655,-102.708422497139,402.135045,75.28,2014.0
8682,8226.0,11.0,155.0,94.0,24.0,763736.0,42398.5714285714,467.59014028182355,343.12807829192906,247.6393135021524,186.3120870104483,144.7153143056812,48.227599802252996,-102.70855799650101,459.63017,17.09,2016.0
8683,8153.0,40.0,152.0,90.0,16.0,8034633.0,143247.285714286,478.789826415732,403.16066135890287,341.3096957031413,299.3644412375045,265.93200419658865,47.9790828107068,-102.20797051881901,660.0,120.19,2014.0
8684,9570.0,47.0,153.0,92.0,28.0,7869961.0,162343.0,883.201840894149,690.850317773395,430.193951347797,329.5146220077436,275.0489313371363,48.0386877991415,-102.50659810125,439.0906,149.13,2014.0
8685,8856.0,39.0,152.0,92.0,7.0,5251354.0,66960.0,492.8308917460429,407.10189171083806,341.29786671854583,298.8686568317007,266.92886763357524,47.9940433635569,-102.51164027063801,660.0,115.92,2014.0
8686,9683.0,35.0,153.0,93.0,10.0,4586731.0,131297.0,260.190664036818,274.2890867140601,246.2834820385778,212.32288408531213,182.6881352791031,48.081895005686704,-102.61986629354799,372.318375,54.47,2015.0
8687,5710.0,40.0,153.0,92.0,24.0,4007860.0,163683.0,324.884944115713,350.3903054851334,340.0113650490526,319.32475267313987,295.2446281144637,48.0623636894452,-102.454427924127,660.0,147.58,2015.0
8688,9948.0,30.0,156.0,92.0,31.0,3852879.0,82427.0,180.506245890861,165.614727153189,138.99846592154302,106.15457666739701,84.5176582836923,48.284670847429894,-102.56580101978099,610.119225,50.91,2014.0
8689,9782.0,35.0,155.0,93.0,21.0,3244574.0,46991.0,579.355687047995,383.50865658558,302.602454525531,258.397253269048,225.887573964497,48.2391953694543,-102.645827583563,660.0,83.45,2014.0
8690,9588.0,30.0,151.0,93.0,32.0,2893475.0,32909.0,701.2491781722549,559.062020600482,470.907297830375,381.868653663525,321.48096869746246,47.8484886547729,-102.609206037904,660.0,127.96,2014.0
8691,6895.0,34.0,152.0,90.0,11.0,10477290.0,216076.452380952,849.0795529257069,680.5719921104541,516.721455182994,400.522317188984,323.62339502722295,48.0029647743601,-102.169373579682,660.0,124.53,2014.0
8692,5372.0,27.0,152.0,90.0,22.0,7082450.0,135545.30952381,600.0986193293891,453.298268682884,297.611220688144,243.089341807291,208.27910372260726,47.9641481182901,-102.175042284429,660.0,77.19,2014.0
8693,9385.0,30.0,151.0,93.0,32.0,2796580.0,49292.0,681.689677843524,629.881656804734,528.0078895463511,442.439184746877,382.19785421302345,47.84863809544379,-102.619978893482,657.427315,144.3,2014.0
8694,8564.0,28.0,153.0,91.0,29.0,2051061.0,42357.0,424.62195923734396,292.395353933815,227.68463730002202,191.12060778727403,168.608919570458,48.0413697897858,-102.416769374741,455.95615,62.77,2014.0
8695,10302.0,35.0,154.0,93.0,21.0,1954223.0,117481.0,667.915844838922,434.87836949375395,313.795748411133,260.0034488736708,226.0526208118672,48.13991140445,-102.641667131614,504.131605,88.95,2014.0
8696,8149.0,39.0,152.0,92.0,4.0,2699593.0,60409.0,449.769888231427,344.47731755424104,286.034407188253,251.559646431441,225.23469482956784,48.0220345557074,-102.453179066574,463.99443499999995,87.89,2014.0
8697,8678.0,43.0,152.0,90.0,16.0,9080590.0,162582.19047619,478.719610463585,409.2216312932889,350.5882237949528,310.19207955020977,277.12763777935686,47.9789457504922,-102.207969511024,660.0,130.61,2014.0
8698,5617.0,35.0,152.0,90.0,28.0,5951541.0,110235.714285714,370.151216305062,340.017532325225,300.443786982248,260.4488101329823,226.4897138647791,47.9619319559197,-102.202008645193,660.0,83.9,2015.0
8699,5245.0,32.0,152.0,90.0,28.0,5095310.0,98394.4285714286,479.6580855040388,384.1928602207421,312.93843061725534,265.4519613278318,229.45152503639883,47.961932525068995,-102.202417104619,660.0,90.04,2015.0
8700,9525.0,36.0,153.0,93.0,10.0,4673672.0,50270.0,496.66019822466683,402.83004579894794,329.5915278282398,282.2274672877393,247.4085672893218,48.081894364746596,-102.620136556626,475.297075,101.77,2015.0
8701,9682.0,36.0,154.0,94.0,22.0,4606140.0,96449.0,510.5338038897885,409.9054142372861,333.8764398188345,286.3084538175402,250.76838303342856,48.140596992277096,-102.760489901675,202.717465,107.83,2015.0
8702,9079.0,55.0,152.0,91.0,13.0,16985897.0,158096.92857142902,465.49434172540896,442.33210239971595,399.0156496347113,359.97132920131605,323.8422522901931,47.9844381537708,-102.276616183677,660.0,176.53,2015.0
8703,8343.0,49.0,152.0,91.0,13.0,14935486.0,138072.69047619,466.5558871817552,433.2615954094606,385.6750157197927,345.0573396761673,308.79108371094685,47.984301091182296,-102.276617158344,660.0,162.27,2015.0
8704,9327.0,35.0,155.0,93.0,21.0,2660912.0,42268.0,657.0677186061799,533.410037256191,375.865658557966,298.703338446928,250.14245014245,48.239285827105896,-102.64582821000099,455.27612,94.76,2014.0
8705,9361.0,35.0,154.0,93.0,27.0,3504908.0,56299.0,652.859960552268,522.781065088757,407.171816787201,324.388194901015,270.8847101892526,48.137484474455206,-102.63035499198799,451.87082999999996,108.83,2014.0
8706,9764.0,30.0,151.0,93.0,32.0,5671100.0,36015.0,816.074950690335,762.130177514793,679.744685513916,569.307473153627,487.8137059978327,47.8484889393301,-102.60900220011,660.0,181.82,2014.0
8707,9974.0,36.0,156.0,92.0,22.0,4478237.0,69817.0,411.20973044050004,290.90510628972197,248.033092263862,224.62195923734402,204.13135878377966,48.318151182448396,-102.500273828918,577.7031,77.16,2014.0
8708,9977.0,36.0,156.0,92.0,22.0,4556850.0,74374.0,991.9132149901379,741.135218058295,537.190444882753,436.364964570093,373.0122003113423,48.318060731851595,-102.500272578737,253.8702,144.53,2014.0
8709,5196.0,26.0,152.0,90.0,15.0,6784930.0,143254.547619048,721.170282708744,502.257286872671,328.709182555336,240.072320841552,187.08484248857349,47.990910160332604,-102.191230783714,660.0,76.11,2014.0
8710,4614.0,23.0,152.0,90.0,15.0,6004470.0,133633.476190476,743.6883629191319,526.528599605523,347.813938198554,269.212506391994,221.18209479081088,47.9911008487897,-102.191515535687,660.0,85.03,2014.0
8711,4805.0,24.0,152.0,90.0,22.0,6316217.0,123522.142857143,541.157133464826,385.78785886478204,259.823580977427,209.208123310687,175.89858966393786,47.9641483087712,-102.17463370248699,660.0,60.93,2014.0
8712,10536.0,35.0,155.0,94.0,22.0,1677855.0,32055.0,490.59829059829104,359.083936007013,260.596099057638,217.6518964794077,190.58795750043896,48.2284703782567,-102.74975718611,447.83933499999995,69.32,2014.0
8713,4599.0,18.0,152.0,92.0,30.0,2525597.0,28072.0,425.73964497041396,372.01402586017997,308.064869603331,248.601066549785,205.28983125137,47.9494911410129,-102.50070157799401,660.0,80.62,2014.0
8714,4421.0,16.0,152.0,92.0,30.0,2120947.0,26622.0,355.35831689677804,328.424282270436,279.361165899627,203.71100883921397,153.9212932812286,47.9494914319385,-102.50059946309901,599.992355,67.41,2014.0
8715,10509.0,35.0,154.0,93.0,21.0,2101362.0,39647.0,751.347797501644,538.987508218277,385.93578785886496,308.8504481837406,262.27764230966227,48.1399116556847,-102.64180242150101,527.2087,100.42,2014.0
8716,14935.0,50.0,150.0,92.0,12.0,7840790.83705612,193386.80952381,721.860618014464,594.433486741179,485.1500700112442,425.0975908087107,382.63120268161913,47.8243544548695,-102.386394458251,634.29095,204.99,2015.0
8717,4151.0,17.0,150.0,92.0,12.0,2222889.08542191,53691.619047619,449.40828402366895,300.197238658777,255.4680270977762,226.67100378401233,201.4446473492137,47.8242173888412,-102.386393506404,660.0,74.84,2015.0
8718,11746.0,35.0,154.0,94.0,26.0,3415823.0,58873.0,1113.60946745562,830.60486522025,581.8371090199192,459.70357397966336,389.32049459310974,48.1385816999431,-102.73952790005501,660.0,181.96,2014.0
8719,11769.0,38.0,154.0,94.0,26.0,3511276.0,50051.0,873.9973701512159,661.4069690992769,516.036598728906,418.06721530466405,354.92071136973857,48.138491239502294,-102.73952790005501,660.0,136.41,2014.0
8720,9481.0,34.0,153.0,92.0,33.0,2536477.0,59383.0,334.845496383958,288.5053692746,241.392724085032,181.415735261889,143.18226012646483,48.0368955686234,-102.505441716311,426.2393,75.1,2014.0
8721,4819.0,30.0,152.0,90.0,28.0,5032315.0,94973.71428571429,470.17437418224995,363.80275628629886,283.7244967105564,230.85164683159087,192.4290751827216,47.9619328096436,-102.20262133433201,660.0,59.6,2015.0
8722,9511.0,36.0,154.0,94.0,22.0,4621358.0,94155.0,509.1756209415171,412.92827677626804,340.10570266636455,294.1378835756718,259.3450972601943,48.14060489911179,-102.760621030935,271.30029,114.52,2015.0
8723,8259.0,46.0,152.0,91.0,13.0,15163968.0,137285.23809523802,469.4042464676927,449.64594212714087,410.58486215465547,374.1377378621007,339.28515261587836,47.9841640285937,-102.27661813301201,660.0,187.48,2015.0
8724,5185.0,24.0,153.0,92.0,6.0,1676745.0,46076.0,291.617357001972,255.128205128205,232.81305027156702,207.14433314126484,183.2001911428431,48.1094438437362,-102.564810622528,660.0,56.01,2015.0
8725,9771.0,34.0,155.0,93.0,21.0,3455658.0,50410.0,608.086785009862,434.385272846811,345.15669515669504,294.842574329754,257.355358316897,48.239376284757604,-102.645828836439,424.47229500000003,98.74,2014.0
8726,9609.0,35.0,154.0,93.0,27.0,3505194.0,54261.0,736.094674556213,440.280517203594,312.694499232961,237.497260574184,192.29137498826776,48.137574933718206,-102.630352936096,303.06411,82.6,2014.0
8727,9488.0,35.0,154.0,93.0,27.0,3493970.0,49582.0,549.802761341223,472.78106508875703,407.57177295638803,340.240338958288,291.7519324576831,48.137665392981205,-102.63035088020399,323.925525,115.56,2014.0
8728,9752.0,30.0,151.0,93.0,32.0,6043470.0,48422.0,644.345825115056,604.152969537585,497.068814376507,424.848418438162,372.24721113146757,47.8484892238873,-102.608798362315,660.0,140.25,2014.0
8729,9462.0,34.0,151.0,93.0,32.0,2598760.0,48257.0,702.8270874424719,589.316239316239,491.524216524216,407.915114325371,350.12278699423223,47.8486386645574,-102.61957121838499,660.0,132.88,2014.0
8730,9977.0,36.0,156.0,92.0,22.0,4556850.0,74374.0,74.72057856673241,67.9048871356564,47.611220688143796,32.6722185696545,22.64912080000795,48.317970281254794,-102.50027132855601,274.6759,17.04,2014.0
8731,9373.0,35.0,156.0,94.0,26.0,2393534.0,61595.0,387.54109138724505,341.200964277887,277.021696252465,234.80897070640702,204.93567085808127,48.311486013582,-102.736597126308,503.79658,78.53,2014.0
8732,9163.0,30.0,152.0,93.0,33.0,2552560.0,32895.0,797.271531886916,644.148586456279,493.05281612973897,412.948352691942,352.720249835634,47.935168019875604,-102.58082073521999,498.66267,129.84,2014.0
8733,10859.0,35.0,155.0,94.0,22.0,3337237.0,51748.0,766.535174227482,529.6625027394259,403.922857769012,330.2412495141357,282.4504390873933,48.2284576631391,-102.74995830899799,489.56517,106.79,2014.0
8734,10244.0,35.0,156.0,93.0,4.0,2129440.0,40235.0,502.91035699917416,402.2390749875278,328.4195132727259,282.97349686333087,250.34615504945054,48.371380501299896,-102.637226081711,508.42715999999996,101.83,2015.0
8735,9774.0,43.0,151.0,92.0,21.0,4033186.0,68454.0,317.32412886259,162.579443348674,191.6371252737269,205.76853301546134,204.76779987915324,47.8904144523819,-102.465972867752,660.0,93.25,2014.0
8736,10016.0,45.0,151.0,92.0,21.0,4083134.0,75314.0,181.360946745562,109.237343852728,168.6574107026998,192.18334122537522,195.0043945722109,47.8904135986429,-102.465768918988,588.889625,86.75,2014.0
8737,14776.0,50.0,150.0,92.0,12.0,7775153.65578574,181776.952380952,660.94674556213,494.860837168529,402.51082961545654,353.70791602289023,318.25508925214285,47.82408031899771,-102.38639662915001,660.0,161.19,2015.0
